,0,1,2,3,4,5,6,7,8,9,10,11
0,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,1,0,0,0,0,0,0,4961,3509,-1,
2,2,1,1,0,0,0,183,399,1423,523,-1,
3,3,1,1,1,0,0,183,399,1423,523,-1,
4,4,1,1,1,1,0,1072,399,285,108,-1,
5,5,1,1,1,1,1,1072,399,285,108,95.000000,     
6,4,1,1,1,2,0,1075,507,282,44,-1,
7,5,1,1,1,2,1,1075,507,282,44,95.000000,  
8,4,1,1,1,3,0,1075,551,531,81,-1,
9,5,1,1,1,3,1,1075,551,531,81,95.000000,   
10,4,1,1,1,4,0,1580,632,26,94,-1,
11,5,1,1,1,4,1,1580,632,26,94,95.000000,  
12,4,1,1,1,5,0,1593,726,13,163,-1,
13,5,1,1,1,5,1,1593,726,13,163,95.000000,  
14,4,1,1,1,6,0,183,889,179,33,-1,
15,5,1,1,1,6,1,183,889,179,33,95.000000, 
16,2,1,2,0,0,0,158,151,470,415,-1,
17,3,1,2,1,0,0,158,151,470,415,-1,
18,4,1,2,1,1,0,158,151,470,415,-1,
19,5,1,2,1,1,1,158,151,470,415,95.000000, 
20,2,1,3,0,0,0,189,529,1014,127,-1,
21,3,1,3,1,0,0,189,529,1012,127,-1,
22,4,1,3,1,1,0,189,529,886,100,-1,
23,5,1,3,1,1,1,189,581,339,43,38.189335,ee
24,5,1,3,1,1,2,879,550,81,79,27.994553,oneg
25,5,1,3,1,1,3,969,529,106,92,42.346786,_~
26,4,1,3,1,2,0,358,592,845,57,-1,
27,5,1,3,1,2,1,358,616,42,15,96.491631,FROM
28,5,1,3,1,2,2,411,616,47,16,94.235336,FLARE
29,5,1,3,1,2,3,469,616,85,16,95.417656,SCRUBBER
30,5,1,3,1,2,4,565,616,53,16,96.177155,PUMPS
31,5,1,3,1,2,5,979,622,53,17,21.818283,fe
32,5,1,3,1,2,6,1065,597,39,43,32.116287,so
33,5,1,3,1,2,7,1146,592,57,57,33.405731,ee
34,4,1,3,1,3,0,1135,640,66,16,-1,
35,5,1,3,1,3,1,1135,640,66,16,30.585037,B11201
36,2,1,4,0,0,0,183,889,1422,65,-1,
37,3,1,4,1,0,0,183,889,1422,65,-1,
38,4,1,4,1,1,0,541,889,1064,33,-1,
39,5,1,4,1,1,1,541,889,1064,33,95.000000, 
40,4,1,4,1,2,0,183,922,162,32,-1,
41,5,1,4,1,2,1,183,922,162,32,95.000000, 
42,2,1,5,0,0,0,360,897,190,49,-1,
43,3,1,5,1,0,0,360,897,190,49,-1,
44,4,1,5,1,1,0,362,897,179,17,-1,
45,5,1,5,1,1,1,362,897,179,17,34.892593,10°-PL-D}—1101—2H1
46,4,1,5,1,2,0,360,930,190,16,-1,
47,5,1,5,1,2,1,360,930,43,15,95.637154,FROM
48,5,1,5,1,2,2,412,930,37,15,95.637154,TEST
49,5,1,5,1,2,3,460,931,90,15,96.150414,SEPARATOR
50,2,1,6,0,0,0,183,922,1422,97,-1,
51,3,1,6,1,0,0,183,922,1422,97,-1,
52,4,1,6,1,1,0,560,922,1045,32,-1,
53,5,1,6,1,1,1,560,922,1045,32,95.000000, 
54,4,1,6,1,2,0,183,954,1422,29,-1,
55,5,1,6,1,2,1,183,954,1422,29,95.000000, 
56,4,1,6,1,3,0,572,996,628,23,-1,
57,5,1,6,1,3,1,572,996,628,23,95.000000,  
58,2,1,7,0,0,0,562,983,1043,340,-1,
59,3,1,7,1,0,0,562,983,1043,340,-1,
60,4,1,7,1,1,0,1267,983,338,48,-1,
61,5,1,7,1,1,1,1267,983,338,48,95.000000,  
62,4,1,7,1,2,0,1267,1031,338,19,-1,
63,5,1,7,1,2,1,1267,1031,338,19,95.000000,  
64,4,1,7,1,3,0,1267,1050,337,22,-1,
65,5,1,7,1,3,1,1267,1050,337,22,95.000000, 
66,4,1,7,1,4,0,1266,1072,338,20,-1,
67,5,1,7,1,4,1,1266,1072,338,20,95.000000, 
